,Unnamed: 0,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13,buy,sell
22,22,2015-02-04,67.53,69.4,66.76,68.33,1499558,QRVO,0.0,,3.382885485504741,0.19780310038673396,0.3071439605954696,0.21500415625981747,0.4376794647335155,0.1540038650026716,-87326.19041992506,70.09818597334426,70.18755982415726,721012.8900000011,,71.03999999999998,69.258,,,,0.5,-0.18999999999999773,,-1277264.8,114402.25,68.16333333333334,69.56666666666668,70.80333333333333,72.20666666666669,66.92666666666668,65.52333333333334,64.28666666666668,-0.0980728616684267,0.025206301575393737,0.21850691511078715,0.3632196883438187,3.5129830628683947,3.72268946356061,0.519868290762571,0.5607146991004089,0.5946969696969671,-0.0014852748682333571,,,0,0
23,23,2015-02-05,67.66,68.73,66.5,67.39,1322918,QRVO,-0.0,,3.2240457775968165,0.14813578123663412,0.3076995429382491,0.2135222609245398,0.3712492043715248,0.11813139677946362,-145501.76259394462,69.19540368741332,69.89460222061966,1388629.8799999943,,69.36599999999997,69.29499999999999,,,,0.5,-0.9399999999999976,,-2069189.6,-57874.85,67.54,68.58000000000001,69.77000000000001,70.81000000000002,66.35000000000001,65.31,64.12,-0.08772167320969275,-0.004431969271679674,0.20481917157903626,0.3530824860692185,2.5688966503150894,3.699006267691496,0.4796108487589722,0.5437909018188588,0.3991031390134525,-0.004369869077989571,,,0,0
24,24,2015-02-06,67.5,68.5,65.53,65.89,1302192,QRVO,-0.0,,3.1891992243162997,0.0689422421195669,0.09762132118439697,0.21741104084051072,0.2796746520987857,0.068074060050598,-384069.515800872,68.09355882287413,69.4791829132779,481573.03999999963,,67.76999999999997,69.205,-0.0005192453909756979,,,0.42857142857142855,-1.5,,-2004954.2,-248712.8,66.64,67.75,69.60999999999999,70.72,64.78,63.67,61.81,-0.04118160651920836,-0.018179108925644446,0.15432603987661772,0.31439476957553264,1.1680539371107617,3.7614827703418863,0.3601398749385526,0.4999544919419731,0.12121212121212105,-0.006904874954036734,,,0,0
25,25,2015-02-09,65.2,65.82,63.35,63.74,1563602,QRVO,-0.0,,3.100490909892514,0.11919046385924947,0.11878790294410088,0.22781523221419056,0.1632346094669082,0.01492460678892702,-472979.89994985954,66.64233423419479,68.88884240313259,-878496.5999999995,,66.77399999999997,69.0365,-0.3986959481353552,,,0.35714285714285715,-2.1499999999999986,,-1648012.8,-280183.4,64.30333333333333,65.25666666666666,66.77333333333334,67.72666666666665,62.78666666666666,61.83333333333334,60.31666666666667,-0.06976065382370103,-0.02716727716727708,0.08691166014903925,0.24352311933191986,1.9897060084343805,3.9318915696887418,0.2927230490065553,0.4647697394472132,0.15789473684210606,-0.009584019941908491,,,0,0
26,26,2015-02-10,63.87,65.12,63.67,65.02,1306622,QRVO,0.0,,2.875707311840659,0.11085978064868136,0.3561082160560858,0.2293494261062322,0.2478163020890448,-0.026181660055891214,230815.05930271719,66.10154663775668,68.49389856129966,-3854.100000000021,,66.07399999999998,69.0115,-0.6135438598391971,,,0.35714285714285715,1.2799999999999943,,-876329.6,-151890.0,64.60333333333334,65.53666666666668,66.05333333333336,66.98666666666668,64.08666666666667,63.15333333333334,62.63666666666667,-0.04844138738475051,0.0,0.08691166014903927,0.24352311933191986,1.8312372866452429,3.956936979932561,0.5054972719514734,0.5123675399897072,0.9310344827586148,-0.010638644465110536,,,0,0
27,27,2015-02-11,64.93,65.65,63.17,64.75,1096587,QRVO,0.0,,2.8219687746123485,0.08388095553264738,0.3890974693848073,0.2302504222469413,0.2326085166694924,-0.07087339523999722,235364.6959716771,65.65102580544263,68.11430772945715,-471685.14999999903,,65.35799999999998,68.998,-0.7932223972799903,,,0.2857142857142857,-0.269999999999996,,-795735.4,-145182.25,64.52333333333333,65.87666666666665,67.00333333333334,68.35666666666665,63.396666666666654,62.04333333333332,60.91666666666664,-0.039174951773260136,0.002477163647623418,0.244229721867626,0.2973106164176761,1.3705728729256914,3.9717046585486138,0.5493642874328057,0.5250137356574867,0.6370967741935467,-0.010711821289997822,,,0,0
28,28,2015-02-12,65.63,66.33,65.0,66.2,1159026,QRVO,0.0,,2.6537204001998926,0.059953188519639364,0.7766285996504455,0.2254362541381748,0.3151584610568965,-0.09935370963685848,416463.3881525636,65.83401863511592,67.92140419222763,-174163.28000000102,,65.11999999999998,69.0785,-0.8196633117580063,,,0.2857142857142857,1.4500000000000028,,-299346.6,-38195.85,65.84333333333332,66.68666666666664,67.17333333333332,68.01666666666664,65.35666666666664,64.51333333333332,64.02666666666664,0.004704811048717594,0.028109954961950647,0.4228452283449841,0.3656965044439205,0.9760379090997284,3.8931995703709767,0.6669956581759555,0.5630281554109211,0.9022556390977476,-0.009309637484479707,,,0,0
29,29,2015-02-13,66.35,70.27,65.63,70.03,1870878,QRVO,0.0,,2.9222264192298413,0.1482545580166779,0.9175065725378964,0.2155026476686956,0.5447904840502966,-0.09993097125917733,689283.4726507287,67.23268638426254,68.13271718688819,4088256.4800000014,,65.94799999999998,69.3605,-0.5526184087100603,,,0.2857142857142857,3.8299999999999983,,335267.4,117690.5,68.64333333333333,71.65666666666667,73.28333333333333,76.29666666666667,67.01666666666667,64.00333333333333,62.37666666666666,0.09868214621901474,0.06412399331408597,0.8021477377597632,0.6193591331319752,2.444272898020968,3.7368428484061407,0.7607562151105091,0.6016357663527386,0.9482758620689666,-0.005385408158628327,,,0,0
30,30,2015-02-17,70.0,70.0,68.06,69.44,973963,QRVO,0.0,,2.7937414128354323,0.1482169213755793,0.736534603421062,0.2095007930735282,0.4929988831889456,-0.09429829987913772,335863.5238347668,67.9684601475951,68.26307777847315,-599604.1199999991,,67.08799999999998,69.542,-0.3807967315850647,,,0.35714285714285715,-0.5900000000000034,,453195.2,-652.05,69.16666666666667,70.27333333333334,71.10666666666668,72.21333333333334,68.33333333333334,67.22666666666667,66.39333333333335,0.0679790833589665,0.02177751618599182,0.8021477377597631,0.6193591331319752,2.4858942053112147,3.642276037979825,0.7442841548666213,0.6125753545831258,0.7113402061855655,-0.0018111575596269165,,,0,0
31,31,2015-02-18,69.15,70.0,67.31,67.54,1056656,QRVO,-0.0,,2.779765795118469,0.13024765094221022,0.4940933920292094,0.2101852449168858,0.36442917466704255,-0.0995980158487499,-248570.6763675995,67.82563976736479,68.19129500825025,2027412.7799999958,,67.59199999999998,69.521,-0.3819992723005043,-0.5023995940727237,0.12040032177221938,0.2857142857142857,-1.8999999999999917,,-19460.4,-108296.8,68.28333333333335,69.25666666666669,70.97333333333336,71.94666666666669,66.56666666666669,65.59333333333335,63.87666666666669,0.04308880308880318,-0.018884369552585663,0.6441936184038257,0.5598359010435805,2.2009248056214683,3.653072102966705,0.5246895471756561,0.5602506991043541,0.08550185873606103,-0.0002436838829715625,,,0,0
