Date,ATR_1,Copp_1,EMA_1,MA_1,OBV_1,PP,R1,R2,R3,S1,S2,S3,ROC_1,Trix_1
2014-02-25,3.4599999999999937,0.0,121.34,121.34000000000042,-2933900.0,121.93333333333332,123.36666666666665,125.39333333333332,126.82666666666664,119.90666666666664,118.47333333333331,116.44666666666666,0.0,-0.018125910341479163
2014-02-26,1.5100000000000051,0.0,121.25,121.25000000000044,-2090700.0,121.49333333333334,122.12666666666668,123.00333333333334,123.63666666666668,120.61666666666667,119.98333333333332,119.10666666666668,0.0,-0.0007417174880501353
2014-02-27,3.1899999999999977,0.0,124.14,124.14000000000044,1335600.0,123.36,125.22,126.3,128.16,122.28,120.42,119.34,0.0,0.023835051546391758
2014-02-28,3.0700000000000074,0.0,126.77,126.77000000000042,2532900.0,125.96,127.9,129.03000000000003,130.97,124.82999999999998,122.89,121.75999999999998,0.0,0.02118575801514416
2014-03-03,4.469999999999999,0.0,125.69,125.69000000000044,-1535400.0,124.56,126.82,127.95,130.21,123.43,121.17,120.04,0.0,-0.008519365780547435
2014-03-04,2.780000000000016,0.0,128.22,128.22000000000043,1912500.0,127.36666666666667,129.18333333333334,130.1466666666667,131.96333333333337,126.40333333333334,124.58666666666666,123.62333333333332,0.0,0.02012888853528524
2014-03-05,2.750000000000014,0.0,127.41,127.41000000000042,-1858800.0,127.96,129.06,130.70999999999998,131.81,126.30999999999996,125.20999999999998,123.55999999999996,0.0,-0.0063172671970051645
2014-03-06,2.2700000000000102,0.0,126.64,126.6400000000004,-1580300.0,126.84333333333336,127.8766666666667,129.11333333333334,130.1466666666667,125.60666666666668,124.57333333333334,123.33666666666667,0.0,-0.006043481673338011
2014-03-07,3.5200000000000102,0.0,127.0,127.0000000000004,1838600.0,127.15333333333336,128.8366666666667,130.67333333333335,132.3566666666667,125.31666666666668,123.63333333333334,121.79666666666668,0.0,0.002842703727100438
2014-03-10,3.5699999999999936,0.0,128.54,128.54000000000042,1100900.0,128.15666666666667,130.13333333333333,131.72666666666663,133.70333333333332,126.56333333333332,124.58666666666667,122.99333333333334,0.0,0.012125984251968442
2014-03-11,1.7900000000000065,0.0,127.74,127.74000000000044,-1181700.0,128.08333333333334,128.80666666666667,129.8733333333333,130.5966666666667,127.01666666666668,126.29333333333334,125.22666666666667,0.0,-0.00622374358176441
2014-03-12,2.8199999999999936,0.0,127.27,127.27000000000044,-912000.0,127.36333333333332,128.72666666666666,130.18333333333334,131.54666666666665,125.90666666666668,124.54333333333334,123.08666666666667,0.0,-0.0036793486770001476
2014-03-13,2.3500000000000085,0.0,125.72,125.72000000000048,-687400.0,126.05666666666666,127.06333333333332,128.40666666666664,129.41333333333333,124.71333333333332,123.70666666666664,122.3633333333333,0.0,-0.012178832403551484
2014-03-14,1.960000000000008,0.0,127.0,127.00000000000048,919200.0,126.88333333333333,127.79666666666664,128.59333333333333,129.50666666666666,126.08666666666664,125.17333333333332,124.37666666666664,0.0,0.010181355392936691
2014-03-17,2.259999999999991,0.0,126.49,126.49000000000046,-713900.0,126.91666666666669,127.83333333333334,129.17666666666668,130.09333333333333,125.57333333333335,124.65666666666668,123.31333333333336,0.0,-0.004015748031496103
2014-03-18,2.250000000000014,0.0,125.99,125.99000000000048,-831200.0,126.61333333333334,127.42666666666668,128.86333333333334,129.6766666666667,125.17666666666668,124.36333333333332,122.92666666666666,0.0,-0.003952881650723377
2014-03-19,1.6999999999999886,0.0,126.47,126.4700000000005,748100.0,125.96999999999998,127.06999999999996,127.66999999999996,128.76999999999995,125.36999999999998,124.27,123.67,0.0,0.003809826176680721
2014-03-20,1.8199999999999927,0.0,126.7,126.7000000000005,1068600.0,126.51333333333334,127.51666666666668,128.33333333333331,129.33666666666664,125.69666666666667,124.69333333333334,123.87666666666668,0.0,0.0018186131098284488
